name,category,nbs_types,experimental,coverage,access_method,probe_result,layer_name,notes,error
WWNP Runoff Attenuation Features 1% AEP,opportunity,pond_pool_scrape,False,england,wfs_direct,ok,dataset-fc69965f-684f-463d-b7c9-2471a5d49741:WWNP_Runoff_Attenuation_Features_1_percent_AEP,,
OS Open Zoomstack — Waterlines,multi,"leaky_barriers, bunds",False,gb,local_file,ok,"LineString | 2,537,234 features | EPSG:unknown","[derived_uses: leaky_barriers_lines, bunds_all_types] OS Open Zoomstack (OGL) — same GeoPackage as Zoomstack Roads / Railways (one ~12 GB download serves three registry entries). Schema is minimal: single attribute 'type' with values 'Local', 'Regional', 'National', 'District'. The Avon model uses this layer two ways — see derived_uses. Confirmed by inspection of data/reference/R_Model/Scripts/ConstraintsLayers_prep.R lines 70-76, OppMapp_LeakyBarriers_v2.R, and OppMapp_BundsCatchmentStorageAreas_v2.R. Two hidden manual preprocess steps in the original methodology: (a) 100 m point sampling along Local lines (was a QGIS plugin — replace with shapely interpolate); (b) multi-type buffering for bunds (lookup {District: 50, Local: 30, National: 150, Regional: 100} metres). See docs/methodology/05_waterlines_source_clarification.md.",
OS MasterMap Water Network (PSGA),opportunity,"leaky_barriers, bunds",False,gb,local_file,ok,"MultiLineString Z | 651,016 features | EPSG:unknown","OS PSGA-licensed — restricted distribution. Do NOT commit to the public GitHub repo (data/raw/ is gitignored). Shared by Matt Palmer 2026-05-20 via the Nature for Water Facility shared docs. Two layers in the .gdb: HydroNode (645,839 3D Points — network junctions/sources/outflows) and WatercourseLink (651,016 3D MultiLineStrings — the network itself). EPSG:27700. Geometry is 3D, will need flattening to 2D in preprocess. Schema is much richer than Zoomstack: 'form' (inlandRiver/canal/drain), 'width' (metres), 'length', 'gradient', 'flowDirect', 'level' (onGroundSurface vs subsurface — culverts), 'watercName' (named rivers), 'catchmentN' (catchment name). No Strahler order field — if/when this replaces Zoomstack in Phase 1.5, the hierarchy filter for leaky barriers will use combined form + width rather than the simple type=='Local' filter on Zoomstack. See docs/methodology/05_waterlines_source_clarification.md for the Phase 1 vs Phase 1.5 plan.",
Risk of Flooding from Surface Water 0.1%,opportunity,"leaky_barriers, bunds",False,england,arcgis_featureserver,ok,Risk of Flooding from Surface Water Extent: 0.1 percent annual chance,Layers 0 (3.3% AEP) and 1 (1% AEP) are also available on the same service. The 0.1% extent (layer 2) is used for identifying areas where bunds and leaky barriers would intercept surface water runoff events.,
WWNP Floodplain Woodland Potential,opportunity,floodplain_reconnection,False,england,wfs_direct,ok,dataset-d1b028b8-6090-4621-8645-034f01b32403:WWNP_Floodplain_Woodland_Potential,,
WWNP Floodplain Reconnection Potential,opportunity,floodplain_reconnection,False,england,wfs_direct,ok,dataset-e92e50e6-d2c5-4ae7-b824-138e0da0b554:WWNP_Floodplain_Reconnection_Potential,,
WWNP Riparian Woodland Potential,opportunity,riparian_buffers,False,england,wfs_direct,ok,dataset-960926b5-84e7-45f0-a38f-8ef58004820e:WWNP_Riparian_Woodland_Potential,,
England Woodland Creation Sensitivity,opportunity,woodland_planting,False,england,arcgis_featureserver,ok,England_Woodland_Creation_Full_Sensitivity_Map_v4,[also_used_as_supplementary] Key attribute: 'sensitivity'. TODO: monitor for v5 release. Not available via DEFRA DSP WFS — confirmed after two slug-discovery passes.,
WWNP Wider Catchment Woodland Potential,opportunity,woodland_planting,False,england,wfs_direct,ok,dataset-7b6c23f0-200e-453d-b3f9-1ace36974bce:WWNP_Wider_Catchment_Woodland_Potential,,
CEH Land Cover Map 2023 Polygon,multi,all,False,gb,requires_login,page_ok,,"[derived_uses: constraint, supplementary] Free EIDC account required. TODO: confirm exact EIDC catalogue URL for 2023 polygon edition. LCM class codes in derived_uses are from the 2021 edition; verify against the 2023 legend before use. Constraint filter excludes coniferous woodland (class 2) by design — see docs/methodology/02_architecture_vector_only.md.",
OS Zoomstack Roads,constraint,all,False,gb,local_file,ok,"LineString | 3,256,147 features | EPSG:unknown","OS Open Zoomstack (OGL). Roads are split across THREE layers in the GeoPackage: 'roads_local' (3.26M features — Minor roads), 'roads_regional' (348k features — A / B roads), 'roads_national' (123k features — Primary / Motorway). For the 10 m road-buffer constraint, the preprocess step must concatenate all three before buffering. Roads / Railways / Waterlines share the same ~12 GB Zoomstack download. Phase 1.5 TODO: OS Data Hub Features API.",
